date,bank,account,subaccount,detail,value,multiple,raw_value,signed,shf_subaccount,shf_detail
1700-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),,1000,0,0,Deposits,Term deposits
1706-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),,1000,0,0,Deposits,Term deposits
1713-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),36,1000,36000,-36000,Deposits,Term deposits
1719-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),18.3,1000,18300,-18300,Deposits,Term deposits
1725-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),48.3,1000,48300,-48300,Deposits,Term deposits
1728-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),0.4,1000,400,-400,Deposits,Term deposits
1738-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),13.2,1000,13200,-13200,Deposits,Term deposits
1741-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),24.9,1000,24900,-24900,Deposits,Term deposits
1744-03-31,Bank of Scotland,Liabilities,1. To the Public,(a) Time deposits (Treasurers’ bonds),26.6,1000,26600,-26600,Deposits,Term deposits
1700-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),,1000,0,0,Deposits,Deposits
1706-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),,1000,0,0,Deposits,Deposits
1713-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),,1000,0,0,Deposits,Deposits
1719-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),,1000,0,0,Deposits,Deposits
1725-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),,1000,0,0,Deposits,Deposits
1728-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),,1000,0,0,Deposits,Deposits
1738-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),3.4,1000,3400,-3400,Deposits,Deposits
1741-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),1.2,1000,1200,-1200,Deposits,Deposits
1744-03-31,Bank of Scotland,Liabilities,1. To the Public,(b) Demand deposits (cash a/cs in credit),4.4,1000,4400,-4400,Deposits,Deposits
