Date,Account,Detail,Company Group,Company,Value,Multiple,raw_value,signed,shf_detail
1744-03-31,Liabilities,1. Note Issue,Public banks,Public banks,55,1000,55000,-55000,Notes
1744-03-31,Liabilities,1. Note Issue,Private banks,Private banks,,1000,0,0,Notes
1744-03-31,Liabilities,2. Deposits,Public banks,Public banks,74,1000,74000,-74000,Deposits
1744-03-31,Liabilities,2. Deposits,Private banks,Private banks,20,1000,20000,-20000,Deposits
1744-03-31,Liabilities,3. Owed to other banks,Public banks,Public banks,,1000,0,0,Notes (other banks)
1744-03-31,Liabilities,3. Owed to other banks,Private banks,Private banks,30,1000,30000,-30000,Notes (other banks)
1744-03-31,Equity,4. Proprietors’ Capital and surplus,Public banks,Public banks,125,1000,125000,-125000,Capital
1744-03-31,Equity,4. Proprietors’ Capital and surplus,Private banks,Private banks,25,1000,25000,-25000,Capital
1744-03-31,Assets,1. Advances,Public banks,Public banks,246,1000,246000,246000,Advances
1744-03-31,Assets,1. Advances,Private banks,Private banks,63,1000,63000,63000,Advances
1744-03-31,Assets,2. Specie,Public banks,Public banks,3,1000,3000,3000,Liquid Assets
1744-03-31,Assets,2. Specie,Private banks,Private banks,2,1000,2000,2000,Liquid Assets
1744-03-31,Assets,3. Notes of other banks,Public banks,Public banks,5,1000,5000,5000,Notes (other banks)
1744-03-31,Assets,3. Notes of other banks,Private banks,Private banks,10,1000,10000,10000,Notes (other banks)
1772-03-31,Liabilities,1. Note issue,Public banks,Public banks,139,1000,139000,-139000,Notes
1772-03-31,Liabilities,1. Note issue,Private bankers,Private bankers,,1000,0,0,Notes
1772-03-31,Liabilities,1. Note issue,Banking companies,Ayr Bank,220,1000,220000,-220000,Notes
1772-03-31,Liabilities,1. Note issue,Banking companies,Glasgow banking companies,230,1000,230000,-230000,Notes
1772-03-31,Liabilities,1. Note issue,Banking companies,Provincial banking companies,275,1000,275000,-275000,Notes
1772-03-31,Liabilities,2. Deposits,Public banks,Public banks,331,1000,331000,-331000,Deposits
1772-03-31,Liabilities,2. Deposits,Private bankers,Private bankers,380,1000,380000,-380000,Deposits
1772-03-31,Liabilities,2. Deposits,Banking companies,Ayr Bank,300,1000,300000,-300000,Deposits
1772-03-31,Liabilities,2. Deposits,Banking companies,Glasgow banking companies,130,1000,130000,-130000,Deposits
1772-03-31,Liabilities,2. Deposits,Banking companies,Provincial banking companies,8,1000,8000,-8000,Deposits
1772-03-31,Liabilities,3. Bills on London,Public banks,Public banks,,1000,0,0,Notes (other banks)
1772-03-31,Liabilities,3. Bills on London,Private bankers,Private bankers,,1000,0,0,Notes (other banks)
1772-03-31,Liabilities,3. Bills on London,Banking companies,Ayr Bank,600,1000,600000,-600000,Notes (other banks)
1772-03-31,Liabilities,3. Bills on London,Banking companies,Glasgow banking companies,,1000,0,0,Notes (other banks)
1772-03-31,Liabilities,3. Bills on London,Banking companies,Provincial banking companies,,1000,0,0,Notes (other banks)
1772-03-31,Equity,4. Capital and Surplus,Public banks,Public banks,184,1000,184000,-184000,Capital
1772-03-31,Equity,4. Capital and Surplus,Private bankers,Private bankers,60,1000,60000,-60000,Capital
1772-03-31,Equity,4. Capital and Surplus,Banking companies,Ayr Bank,130,1000,130000,-130000,Capital
