"Table 34 Bank of Scotland – Liabilities and Assets 1747-71 (as at March) (£1,000’s)",,,,,,,,,,,,,,,,,,,,
,1747,,1750,,1753,,1756,,1759,,1762,,1764,,1766,,1768,,1771,
Liabilities,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
1. To the Public,,,,,,,,,,,,,,,,,,,,
(a) Deposits on Treas. bonds,27,22,38,24,29,18,39,20,34,17,27,10,30,9,50,17,31,10,62,23
(b) Promissory notes,-,-,-,-,-,-,-,-,-,-,6,2,-,-,35,12,59,18,46,17
(c) Cash accounts in credit,12,10,3,2,2,1,4,2,6,3,9,3,72,20,31,11,21,6,-,-
Total deposits,39,32,41,26,31,19,43,22,40,20,42,15,102,29,116,40,111,34,108,40
(d) Notes in hands of public,26,22,58,36,64,39,83,42,58,29,104,38,137,39,74,26,69,21,52,19
(e) Post bills,-,-,-,-,-,-,-,-,-,-,34,13,26,7,13,5,10,3,8,3
Total liabilities to public,65,54,99,62,95,58,126,64,98,49,180,66,265,75,203,71,190,58,168,62
2. To proprietors,,,,,,,,,,,,,,,,,,,,
(a) paid up capital,50,42,50,31,50,31,60,30,60,30,60,22,60,17,60,21,60,18,70,25
(b) surplus,5,4,11,7,17,10,11,6,15,8,23,9,23,7,23,8,22,7,16,6
3. Miscellaneous,-,-,-,-,1,1,-,-,26,13,8,3,4,1,-,-,55,17,20,7
,120,100,160,100,163,100,197,100,199,100,271,100,352,100,286,100,327,100,274,100
Assets,,,,,,,,,,,,,,,,,,,,
1. Advances,,,,,,,,,,,,,,,,,,,,
(a) on bonds,53,44,57,36,49,30,49,25,48,24,53,20,98,28,81,28,87,27,59,22
(b) on bills,11,9,11,7,6,4,9,5,8,4,6,2,10,3,9,3,19,6,69,25
(c) on promissory notes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,4,11,3,-,-
(d) on cash accounts,45,38,75,47,86,53,111,56,122,61,134,49,187,53,132,46,172,52,117,43
Total Advances,109,91,143,90,141,87,169,86,178,89,193,71,295,84,233,81,289,88,245,90
2. Specie,1,1,3,2,3,1,4,2,3,2,5,2,7,2,4,1,3,1,2,-
3. Notes of other banks,10,8,14,8,14,9,18,9,18,9,19,7,29,8,23,8,29,9,24,9
4. Due from Royal Bank,-,-,-,-,5,3,5,3,-,-,17,6,17,5,14,5,-,-,-,9
5. Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4,-,-,-,9
6. Miscellaneous,-,-,-,-,-,-,1,-,-,-,37,14,4,1,2,1,6,2,3,1
,120,100,160,100,163,100,197,100,199,100,271,100,352,100,286,100,327,100,274,100
Source: BS ledgers.,,,,,,,,,,,,,,,,,,,,
