"Table 35 The Dundee Banking Co (Geo Dempster & Co.)- Liabilities and Assets 1764-72 (£1,000’s)",,,,,,,,,,,,,,,,,,
,1764,,1765,,1766,,1767,,1768,,1769,,1770,,1771,,1772,
Liabilities,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
1. Note Issue,30.3,95,33.8,96,34.5,88,32,79,32.5,74,33.5,75,27.5,56,30.2,80,43.7,85
2. Deposits,-,-,-,-,-,-,-,-,3.9,9,-,-,8.5,17,-,-,-,-
To public,30.3,95,33.8,96,34.5,88,32,79,36.4,83,33.5,75,36,73,30.2,80,43.7,85
3. Capital and surplus,1.6,5,1.3,4,4.5,11,5.6,14,6.1,14,6.5,14,7,14,7.4,20,7.9,15
4. Sundries,-,-,-,-,0.3,1,3.1,7,1.3,3,4.9,11,6.3,13,-,-,-,-
,31.9,100,35.1,100,39.3,100,40.7,100,43.8,100,44.9,100,49.3,100,37.6,100,51.6,100
Assets,,,,,,,,,,,,,,,,,,
1. Advances,28.3,89,30.7,88,34.6,88,30.8,75,38.7,88,39.5,88,45.3,92,34.2,90,28.4,54
2. Investments and Liquid Assets,2.5,8,2.6,7,1.2,3,0.8,2,2,5,2,5,0.6,1,1,3,4.9,10
3. Specie,1,3,1.4,4,3.5,9,9.1,23,2.6,6,2.9,6,2.4,5,2.1,6,17.3,34
4. Sundries,0.1,-,0.4,1,-,-,-,-,0.5,1,0.5,1,1,2,0.3,1,1,2
,31.9,100,35.1,100,39.3,100,40.7,100,43.8,100,44.9,100,49.3,100,37.6,100,51.6,100
Number of cash acc.,75,,82,,105,,108,,124,,144,,136,,106,,116,
"Source: Boase, 1867",,,,,,,,,,,,,,,,,,
