"Table 37 The Royal Bank of Scotland – Liabilities and Assets 1794-1802 (£1,000’s)",,,,,,,,,,,,,,,
,29 September,,,30 March,,,28 September,,,31 March,,,16 August,,
,1794,,,1795,,,1795,,,1797,,,1802,,
Liabilities,,Total,%,,Total,%,,Total,%,,Total,%,,Total,%
1. Note issue,,251,12,,325,15,,271,12,,339,15,,391,15
2. Deposits: Edinburgh,383,,,410,,,394,,,391,,,422,,
Glasgow,246,629,30,277,687,31,335,729,33,314,705,31,484,906,36
To Public,,880,42,,1012,46,,1000,45,,1044,46,,1297,51
3. Owed other banks,,,,,,,,,,,,,,,
(a) Sundry,2,-,-,1,-,-,6,-,-,3,-,-,1,-,-
(b) Bank of Scotland,30,32,2,30,31,1,-,6,-,30,33,1,-,1,-
4. Sundry,-,23,1,-,45,2,-,40,2,-,36,1,-,60,2
5.Capital,1000,-,-,1000,-,-,1000,-,-,1000,-,-,1000,-,-
Surplus,145,1145,55,142,1142,51,148,1148,53,159,1159,52,191,1191,47
,-,2080,100,-,2230,100,-,2194,100,-,2272,100,-,2549,100
Assets,,,,,,,,,,,,,,,
"1. Advances, heritable and personal",,,,,,,,,,,,,,,
(a) On bonds,-,131,6,-,112,5,-,97,4,-,92,4,-,71,3
(b) Cash a/cs: Edinburgh,126,-,-,121,-,-,108,-,-,215,-,-,57,-,-
Glasgow,84,210,10,93,214,10,58,166,8,64,279,12,10,67,3
(c) Bills discounted: Edinburgh,238,-,-,196,-,-,174,-,-,216,-,-,212,-,-
Glasgow,391,629,30,372,568,25,326,500,23,413,629,28,550,762,30
Total Advances,-,970,46,-,894,40,-,763,35,-,1000,44,-,900,36
2. Specie,-,13,1,-,16,1,-,14,1,-,17,1,-,20,1
3. Notes of other banks,-,19,1,-,18,1,-,15,1,-,20,1,-,18,1
4. Investments,,,,,,,,,,,,,,,
(a) Bank stocks,426,-,-,465,-,-,491,-,-,470,-,-,416,-,-
(b) Government obligations,113,539,26,212,677,30,341,832,37,259,729,31,570,986,39
5. Owed by other banks,,,,,,,,,,,,,,,
(a) Sundry,162,-,-,213,-,-,196,-,-,160,-,-,244,-,-
(b) Bank of England,225,387,17,243,456,20,196,392,18,155,315,14,203,447,17
6. Owed by Glasgow agent,-,79,5,-,80,4,-,80,4,-,103,5,-,110,4
7. Sundry,-,73,4,-,89,4,-,98,4,-,88,4,-,68,2
,-,2080,100,-,2230,100,-,2194,100,-,2272,100,-,2549,100
Source: William Ramsay of Barnton in ‘Steel-Maitland Papers’. SRO.,,,,,,,,,,,,,,,
