"Table 38 Dundee Banking Company – Balance Sheets 1775-1810 All at 21st February (£1,000’s)",,,,,,,,,,,,,,,,,,
,1775,,1780,,1785,,1790,,1795,,1800,,1802,,1805,,1810,
Liabilities,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
1. Note Issue,35.9,81,40.3,80,55.4,76,43.4,62,69,39,60.9,27,12.7,7,67.2,23,58.5,12
2. Deposits,,,,,,,,,73.5,42,119.4,54,135.1,72,197.7,67,337.2,71
To public,35.9,81,40.3,80,55.4,76,43.4,62,142.5,81,180.3,81,147.8,79,264.9,90,395.7,83
3. Capital and surplus,8.2,19,10,20,13.1,18,23.4,33,33.5,19,36.4,16,23.4,13,13.1,4,39.7,8
4. Sundries,0.2,,,,4.3,6,3.6,5,0.1,,5.4,3,15.1,8,16.2,6,43.5,9
,44.3,100,50.3,100,72.8,100,70.4,100,176.1,100,222.1,100,186.3,100,294.2,100,478.9,100
Assets,,,,,,,,,,,,,,,,,,
1. Advances,36,81,32.4,64,62.3,86,57.9,82,154.3,87,193.5,87,154.1,83,184.2,62,311,65
2. Investments and Liquid Assets,4.7,11,9.5,19,2.1,3,2.6,4,13.8,8,14.8,7,17.6,9,99.9,34,154.1,32
3. Specie,3.2,7,7.1,14,7.7,10,7.9,11,6.8,4,11.3,5,9.1,5,8,3,9,2
4. Sundries,0.4,1,1.3,3,0.7,1,2,3,1.2,1,2.5,1,5.5,3,2.1,1,4.8,1
,44.3,100,50.3,100,72.8,100,70.4,100,176.1,100,222.1,100,186.3,100,294.2,100,478.9,100
Number branches,,,,,,,,,3,,3,,3,,2,,2,
Number of cash a/cs,110,,113,,150,,183,,268,,296,,295,,210,,290,
"Source: Boase, 1867",,,,,,,,,,,,,,,,,,
