"Table 41 The Royal Bank of Scotland – Liabilities and Assets 1817-25 September (£1,000’s)",,,,,,,,,,
,1817,%,1819,%,1821,%,1823,%,1825,%
Liabilities,,,,,,,,,,
1. Deposits,2266,51,1152,37,1242,36,1721,43,1909,44
2. Note issue,217,5,204,6,224,6,200,5,246,6
To public,2483,56,1356,43,1466,42,1921,48,2155,50
3. Owed to other banks,74,2,4,-,88,3,213,5,250,6
4. Capital and,1000,23,1500,48,1500,44,1500,37,1500,35
Surplus,845,19,274,9,394,11,382,10,414,9
5. Sundry,9,-,3,-,9,-,14,-,13,-
,4411,100,3137,100,3457,100,4030,100,4332,100
,,,,,,,,,,
Assets,,,,,,,,,,
1. Advances,,,,,,,,,,
(a) on bond,61,2,77,3,67,2,48,1,44,1
(b) bills discounted,1095,25,1633,52,966,28,1664,41,2322,54
(c) cash a/cs,195,4,283,9,260,8,315,8,334,8
(d) doubtful debts,185,4,102,3,72,2,35,1,30,-
Total,1536,35,2095,67,1365,40,2062,51,2730,63
2. Specie,11,-,10,-,11,-,10,-,12,-
3. Notes of other banks,10,-,10,-,7,-,10,-,15,-
4. Investments and liquid assets,2597,59,800,26,1689,49,1737,44,1419,33
5. London balances,239,5,158,5,321,9,163,4,60,2
6. Sundries,18,1,64,2,64,2,48,1,96,2
,4411,100,3137,100,3457,100,4030,100,4332,100
"Source: BS Minutes, 1 June 1840",,,,,,,,,,
