"Table 42 The Royal Bank of Scotland-Liabilities and Assets 1830-50 (September) (£1,000’s)",,,,,,,,,,
,1830,,1835,,1840,,1845,,1850,
,Total,%,Total,%,Total,%,Total,%,Total,%
Liabilities,,,,,,,,,,
1. Deposits,2885,55,2932,52,3092,54,3815,60,3516,58
2. Note issue,203,4,184,3,179,3,119,2,318,5
To Public,3088,59,3116,55,3271,57,3934,62,3834,63
3. Owed to other banks,303,6,257,5,181,3,170,3,121,2
4. Capital and surplus,1850,35,2181,39,2245,39,2210,35,2116,35
5. Sundries,16,-,31,1,64,1,23,-,6,-
,5257,100,5585,100,5761,100,6337,100,6077,100
Assets,,,,,,,,,,
1. Advances,,,,,,,,,,
(a) on bonds,665,13,535,10,243,4,560,9,759,13
(b) bills discounted,1628,31,1823,32,2568,45,2244,35,1285,21
(c) cash a/cs,502,9,955,17,1741,30,1979,31,1503,25
(d) doubtful debts,213,4,41,1,69,1,91,2,128,2
Total,3008,57,3354,60,4621,80,4874,77,3675,61
2. Specie,10,-,9,-,9,-,6,-,204,3
3. Notes of other banks,15,-,17,-,23,-,24,-,18,-
4. Investments,1294,25,2037,36,1009,18,1308,21,2071,34
5. London balances,766,15,88,2,30,1,103,2,82,1
6. Sundries,164,3,80,2,69,1,22,-,27,1
,5257,100,5585,100,5761,100,6337,100,6077,100
Source: RBS balance sheets,,,,,,,,,,
