"Table 44 The System: liabilities, assets and profits 1865-1972 (millions of £)",,,,,,,,,,,,,,,,,,
Year,Branches,Deposits,Notes,Other liabilities,Total Public Liabilities,Capital,Reserve,Advances,Investments,Liquid Assets,Property,Profit before tax,Distributed profits,Retained profits,,assets,l&e,
1865,693,59.62,5.33,2.77,67.72,9.43,3.1,56.78,10.64,11.75,1.08,1.155,0.901,0.251,,  80.3 ,  80.3 ,   
1866,693,63.12,5.42,2.59,71.13,9.46,3.38,59.27,11.2,12.41,1.1,1.352,0.988,0.356,,  84.0 ,  84.0 ,  (0.0)
1867,727,64.06,5.52,3.15,72.73,9.46,3.51,58.89,12.07,13.57,1.15,1.171,1.016,0.152,,  85.7 ,  85.7 ,  0.0 
1868,731,63.74,5.35,4.48,73.57,9.36,3.57,60.15,11.73,13.43,1.18,1.181,1.045,0.134,,  86.5 ,  86.5 ,  0.0 
1869,756,63.18,5.42,4.37,72.97,9.4,3.54,60.43,11.43,12.83,1.23,1.157,1.055,0.101,,  85.9 ,  85.9 ,  (0.0)
1870,772,63.23,5.51,5.08,73.82,9.4,3.63,61.54,11.48,12.61,1.21,1.184,1.068,0.113,,  86.8 ,  86.9 ,  0.0 
1871,787,67.02,6.04,5.95,79.01,9.4,3.78,63.94,12.88,14.06,1.3,1.245,1.133,0.11,,  92.2 ,  92.2 ,  0.0 
1872,807,74.82,7.13,8.18,90.13,9.47,4.05,72.4,14.49,15.44,1.32,1.292,1.292,0.136,,  103.7 ,  103.7 ,   
1873,847,78.08,7.02,7.92,93.02,9.6,4.47,76.41,14.14,15.17,1.37,1.445,1.237,0.206,,  107.1 ,  107.1 ,   
1874,889,79.64,6.65,7.47,93.76,9.72,4.82,78.1,13.79,14.84,1.57,1.436,1.295,0.144,,  108.3 ,  108.3 ,  0.0 
1875,910,81.54,6.59,8.21,96.34,9.79,4.99,80.78,13.77,14.99,1.58,1.395,1.253,0.141,,  111.1 ,  111.1 ,  0.0 
1876,936,80.08,6.38,8.96,95.42,11.05,5.34,79,14.92,16.24,1.65,1.391,1.299,0.09,,  111.8 ,  111.8 ,  (0.0)
1877,952,78.94,6.31,9.57,94.82,10.05,5.44,81.79,12.96,13.82,1.74,1.431,1.324,0.106,,  110.3 ,  110.3 ,  0.0 
1878,875,69.5,5.68,6.01,81.19,9.05,5.03,69.24,11.13,12.81,2.08,1.193,1.116,0.074,,  95.3 ,  95.3 ,  0.0 
1879,896,75.68,5.62,5.81,87.11,9.05,4.92,62.97,16.71,18.81,2.58,1.106,1.07,0.033,,  101.1 ,  101.1 ,  0.0 
1880,891,77.92,5.58,4.87,88.37,9.05,5.05,65.01,16.66,18.15,2.66,1.24,1.11,0.126,,  102.5 ,  102.5 ,  (0.0)
1881,885,79.44,5.56,5.49,90.49,9.05,5.46,66.44,17.34,18.54,2.68,1.254,1.129,0.121,,  105.0 ,  105.0 ,   
1882,887,81.17,5.84,5.2,92.21,9.05,5.68,67.01,18.2,19.07,2.68,1.291,1.159,0.127,,  107.0 ,  106.9 ,  (0.0)
1883,901,83.25,5.97,4.59,93.81,9.05,5.74,68.4,18.39,19.11,2.7,1.274,1.171,0.101,,  108.6 ,  108.6 ,   
1884,929,83.43,5.91,4.68,94.02,9.05,5.73,66.78,19.35,19.94,2.73,1.195,1.177,0.018,,  108.8 ,  108.8 ,  0.0 
1885,934,81.52,5.76,3.98,91.26,9.05,5.76,65.7,18.58,19.07,2.74,1.222,1.154,0.068,,  106.1 ,  106.1 ,  (0.0)
1886,949,81.02,5.69,4.23,90.94,9.05,5.64,64.6,18.88,19.38,2.77,1.2,1.126,0.072,,  105.6 ,  105.6 ,  0.0 
1887,950,82.53,5.73,4.05,92.31,9.05,5.53,62.78,20.38,20.8,2.94,1.182,1.103,0.074,,  106.9 ,  106.9 ,  (0.0)
