TABLE 46 Notes and deposits Scottish as percentage of Great Britain 1865-1972,,
,Notes issued by Scottish banks,Deposits
1865,14.06,-
1870,14.76,-
1875,15.97,-
1880,15.32,25.58
1885,17.07,21.69
1886,17.22,21.3
1890,18.98,19.95
1895,20.29,17.15
1900,20.47,15.46
1905,20,13.86
1910,19.94,12.87
1914,11.8,12.89
1915,10.7,12.39
1920,6.06,12.46
1925,5.35,11.76
1930,5.63,11.47
1935,5.21,12.43
1940,4.76,11.6
1945,4.82,10.93
1946,4.78,10.44
1950,5.16,10.75
1955,5.47,10.57
1960,5.35,9.58
1965,4.56,9.3
1970,4.35,10
1972,4.3,10.33
"Sources: Table 44, Sheppard, 1971, 118,9",,
