"TABLE 47 The major Scottish banks compared Ranking for total liabilities, deposits, advances 1865-1972",,,,,,,,,,,,,,,,,,,,,,,,
,BS,,,RBS,,,BLB,,,CB,,,NB,,,UB,,,CIB,,,CGB,,
,TL,D,A,TL,D,A,TL,D,A,TL,D,A,TL,D,A,TL,D,A,TL,D,A,TL,D,A
1865,6,6,5,1,2,1,3,3,4,5,5,6,4,4,3,2,1,2,8,8,8,7,7,7
1870,2,3,2,1,2,1,6,6,6,5,5,5,3,2,3,4,4,4,8,8,8,7,7,7
1875,2,3,2,3,1,4,7,7,7,5,4,6,1,1,3,6,5,5,8,8,8,4,6,1
1880,1,1,2,2,2,1,5,5,4,6,6,5,3,3,4,4,4,6,7,7,7,,,
1885,1,1,1,3,2,2,5,6,4,4,4,5,2,2,3,6,5,6,7,7,7,,,
1886,1,1,1,3,3,3,4,4,4,5,6,5,2,2,2,6,5,6,7,7,7,,,
1890,1,1,1,3,3,2,4,4,4,5,5,5,2,2,3,6,6,7,7,7,6,,,
1895,1,1,1,2,3,3,5,5,2,4,3,5,3,2,4,6,6,7,7,7,6,,,
1900,1,1,2,3,4,1,4,5,4,5,3,5,2,2,3,6,6,7,7,7,6,,,
1905,1,1,2,2,4,1,5,6,4,4,3,5,3,2,3,6,5,7,7,7,6,,,
1910,1,1,1,4,4,4,5,7,3,3,3,5,2,2,2,6,6,7,7,5,6,,,
1914,1,1,1,4,4,3,6,7,7,2,2,5,3,3,2,5,4,6,7,6,4,,,
1915,1,1,1,3,5,5,7,7,3,4,4,6,2,2,2,6,6,7,5,5,4,,,
1920,4,4,7,2,3,5,7,7,6,1,1,4,5,5,3,6,6,2,3,3,1,,,
1925,4,5,5,1,2,1,6,7,6,2,2,2,5,3,4,7,6,6,3,4,3,,,
1930,3,3,4,1,1,1,7,7,7,2,2,2,4,4,3,6,6,6,5,5,5,,,
1935,3,3,3,1,1,1,6,6,7,2,2,2,4,4,4,7,7,6,5,5,5,,,
1940,3,3,3,1,1,1,6,7,7,2,2,4,4,5,3,7,6,6,5,4,5,,,
1945,3,3,3,1,1,1,6,6,5,2,2,2,4,4,4,7,7,7,5,5,6,,,
1946,3,4,4,1,1,1,6,6,7,2,2,3,4,4,4,7,7,7,5,5,6,,,
1950,4,5,5,2,2,2,7,7,7,3,3,3,5,5,4,6,6,6,1,1,1,,,
1955,1,1,1,3,2,2,6,6,6,4,4,4,5,5,,,,,2,2,3,,,
1960,2,1,1,4,4,4,5,5,5,1,1,21,,,,,,,3,2,3,,,
1965,2,1,1,4,4,4,5,5,5,1,1,21,,,,,,,3,2,3,,,
1970,2,2,2,1,1,1,4,4,4,,,,,,,,,,3,2,3,,,
1972,2,2,2,1,1,1,,,,,,,,,,,,,3,3,3,,,
