"TABLE 48 Bank liabilities Edinburgh, Glasgow and northern based bank, percentage shares 1865-1972",,,
,Edinburgh,Glasgow,North
1865,61.5,30.31,8.19
1870,62.94,30.68,6.38
1875,60.68,32.42,6.91
1880,70.72,22.15,7.13
1885,70.53,21.79,7.69
1886,70.64,21.76,7.6
1890,70.92,21.95,7.13
1895,70.79,21.9,7.31
1900,69.49,23.07,7.44
1905,69.49,22.63,7.88
1910,70.36,23.01,6.63
1914,68.88,24.65,6.48
1915,68.62,24.65,6.73
1920,66.78,25,8.22
1925,67.75,23.87,8.38
1930,69.06,22.95,7.99
1935,69.62,21.44,8.95
1940,70.49,21.48,8.03
1945,70.81,21.15,8.05
1946,69.51,22.38,8.12
1950,69.07,30.93,
1955,78.34,21.66,
1960,78.05,21.95,
1965,77.94,22.06,
1970,76.76,23.24,
1972,77.38,22.62,
