"TABLE 3: Scottish Banks, Bankers and Banking Companies, December 1772–1810",,,,,
,Date of founding,Date of ending if 1810 December,,,
I. Edinburgh,,,,,
(a) Public Banks,,,,,
The Bank of Scotland,1695,,,,
The Royal Bank of Scotland,1727,,,,
The British Linen Co,1746,,,,
(b) Joint-Stock Banks,,,,,
The Commercial Bank of Scotland,1810,,,,
(c) Private Bankers,,,,,
(i) Larger,,,,,
Sir William Forbes & Co,c1730’s,,,,
William Alexander & Son,c1730’s,failed 1776,,,
"Mansfield, Ramsays Co (later Mansfield Bonars & Co)",c1745,,,,
Thomas Kinnear and Sons,c1756,,,,
William Cummings & Sons,?,failed 1788,,,
"Scott, Smith, Stein and Co.",,,,,
(ii) Lesser,,,,,
Alexander Allan,c1776,,,,
Robert Allen,c1776,,,,
David Patterson,1803,,,,
Donald Smith & Co.,1773,,,,
"Inglis, Borthwick & Co.",1805,,,,
Allan and Stewart,1776,failed 1810,,,
Bertram Gardner & Co.,1776,failed 1793,,,
John Wardie,c1778,failed c1781,,,
Henry Jamieson,c1778,ended 1798,,,
William Lothian,c1778,ended by 1810,,,
James Sterling,c1779,ended by 1810,,,
Adam Kier,c1779,ended by 1810,,,
"Seton, Wallace & Co",1791,ended 1805,,,
Messrs Thomson,c1793,ended by 1810,,,
John Wardrop & Co.,?,ended by 1810,,,
II. Glasgow,,,,,
(c) Provincial Banking Companies,,,,,
Ship Bank,1749,,,,
Arms Bank,1750,failed 1793,,,
Thistle Bank,1761,,,,
Glasgow Bank,1809,,,,
Merchants Bank,1769,failed 1793,,,
(b) Private Bankers,,,,,
J. & R. Watson & Co.,c1763,,,,
"Thomson, Andrew, George and Andrew",1785,ceased 1793,,,
Gilbert Hamilton and Son,c1795,"became Glasgow agents Bank of Scotland, 1802",,,
III. Secondary Burghs,,,,,
(a) Provincial Banking Companies,,,,,
The Banking Co of Aberdeen,1767,,,,
The Commercial Bank of Aberdeen,1778,,,,
Perth Banking Co. (formerly Perth United Co.),1766,,,,
Perth Union Banking Co.,1810,,,,
Dundee Banking Co.,1763,,,,
Dundee Commercial Banking Co. (No. 1),1792,"became Dundee New Bank, 1802",,,
Dundee New Bank,1802,,,,
Dundee Union Banking Co.,1809,,,,
Stirling Banking Co.,1777,,,,
"Merchants’ Banking Co., Stirling",1784,failed 1808,,,
"Campbell, Thomson & Co., Stirling",1787,retired 1798,,,
Paisley Banking Co,1783,,,,
Paisley Union Bank,1788,,,,
"Renfrewshire Banking Co., Greenock",1802,,,,
Greenock Banking Co.,1785,,,,
Leith Banking Co.,1792,,,,
IV. Lesser Burghs,,,,,
Cupar Banking Co.,1802,,,,
East Lothian Banking Co.,1810,,,,
Falkirk Banking Co.,1781,,,,
Falkirk Union Banking Co.,1802,,,,
Fife Banking Co. (Cupar),1802,,,,
"Galloway Banking Co. (Douglas Napier & Co., Castle Douglas)",1806,,,,
"Hunters & Co., Ayr",1773,,,,
Kilmarnock Banking Co.,1802,,,,
Dumfries Commercial Bank (Grace & Co.),1804,failed 1808,,,
Berwick and Kelso Banking Co. (The Tweed Bank),c1808,ended 1810,,,
Summary,,,,,
Number trading 31 December 1772,16,,,,
Began 1773-1810,43,,,,
Ended 1773-1810,22,,,,
Total trading 31 December 1810,37,,,,
,,,,,
,Public Banks,Joint-Stock Banks,Private Bankers,Banking Companies,Total
Edinburgh,3,1,9,-,13
Glasgow,-,-,1,3,4
Secondary burghs,-,-,-,12,12
Lesser burghs,-,-,-,8,8
,3,1,10,23,37
